1, 1, 0.000001
1, 2, 0.000001
1, 4, 0.000001
1, 8, 0.000001
1, 16, 0.000002
1, 32, 0.000003
1, 64, 0.000005
1, 128, 0.000012
1, 256, 0.000037
1, 512, 0.000119
1, 1024, 0.000439
1, 2048, 0.002373
1, 4096, 0.012207
1, 8192, 0.055813
1, 16384, 0.292707
1, 32768, 1.982575
1, 65536, 11.183807
1, 131072, 51.935650
1, 262144, 220.470770
2, 1, 0.000097
2, 2, 0.000110
2, 4, 0.000116
2, 8, 0.000099
2, 16, 0.000104
2, 32, 0.000099
2, 64, 0.000149
2, 128, 0.000263
2, 256, 0.000803
2, 512, 0.002348
2, 1024, 0.008673
2, 2048, 0.037606
2, 4096, 0.148175
2, 8192, 0.580703
2, 16384, 2.711667
2, 32768, 10.465761
2, 65536, 39.454209
2, 131072, 165.518523
2, 262144, 647.803917
4, 1, 0.000163
4, 2, 0.000185
4, 4, 0.000215
4, 8, 0.000233
4, 16, 0.000245
4, 32, 0.000237
4, 64, 0.000256
4, 128, 0.000365
4, 256, 0.000674
4, 512, 0.001843
4, 1024, 0.006745
4, 2048, 0.027450
4, 4096, 0.109306
4, 8192, 0.454085
4, 16384, 1.772337
4, 32768, 7.798414
4, 65536, 32.512200
4, 131072, 159.363251
4, 262144, 516.935910
8, 1, 0.000369
8, 2, 0.000450
8, 4, 0.000424
8, 8, 0.000491
8, 16, 0.000456
8, 32, 0.000463
8, 64, 0.000469
8, 128, 0.000545
8, 256, 0.000757
8, 512, 0.001373
8, 1024, 0.004427
8, 2048, 0.014572
8, 4096, 0.056014
8, 8192, 0.241239
8, 16384, 1.069402
8, 32768, 4.636633
8, 65536, 17.115620
8, 131072, 68.087801
8, 262144, 239.608866
16, 1, 0.000870
16, 2, 0.000821
16, 4, 0.000807
16, 8, 0.000864
16, 16, 0.003823
16, 32, 0.000925
16, 64, 0.000918
16, 128, 0.000969
16, 256, 0.001368
16, 512, 0.001601
16, 1024, 0.002990
16, 2048, 0.009045
16, 4096, 0.031399
16, 8192, 0.125351
16, 16384, 0.503347
16, 32768, 2.445027
16, 65536, 10.613536
16, 131072, 40.950266
16, 262144, 218.759866
32, 1, 0.003788
32, 2, 0.003715
32, 4, 0.010302
32, 8, 0.011073
32, 16, 0.006139
32, 32, 0.011660
32, 64, 0.004823
32, 128, 0.003777
32, 256, 0.002043
32, 512, 0.007214
32, 1024, 0.003117
32, 2048, 0.011761
32, 4096, 0.036222
32, 8192, 0.136581
32, 16384, 0.462204
32, 32768, 1.925309
32, 65536, 8.134408
32, 131072, 30.633088
32, 262144, 112.562783
64, 1, 0.017565
64, 2, 0.017088
64, 4, 0.014891
64, 8, 0.014575
64, 16, 0.013636
64, 32, 0.014211
64, 64, 0.016961
64, 128, 0.019205
64, 256, 0.028714
64, 512, 0.027776
64, 1024, 0.028820
64, 2048, 0.028704
64, 4096, 0.045185
64, 8192, 0.089691
64, 16384, 0.295274
64, 32768, 1.042916
64, 65536, 3.804296
64, 131072, 15.396395
64, 262144, 60.743222
128, 1, 0.021223
128, 2, 0.025744
128, 4, 0.022180
128, 8, 0.035564
128, 16, 0.024573
128, 32, 0.028061
128, 64, 0.023591
128, 128, 0.033056
128, 256, 0.042078
128, 512, 0.031935
128, 1024, 0.035430
128, 2048, 0.038789
128, 4096, 0.049012
128, 8192, 0.074090
128, 16384, 0.182076
128, 32768, 0.566466
128, 65536, 2.097325
128, 131072, 7.663702
128, 262144, 30.271571
256, 1, 0.038338
256, 2, 0.030014
256, 4, 0.049274
256, 8, 0.050722
256, 16, 0.038151
256, 32, 0.036709
256, 64, 0.037460
256, 128, 0.034207
256, 256, 0.062768
256, 512, 0.055457
256, 1024, 0.078134
256, 2048, 0.105162
256, 4096, 0.105682
256, 8192, 0.136956
256, 16384, 0.374953
256, 32768, 0.997948
256, 65536, 2.798414
256, 131072, 7.418196
256, 262144, 26.034873
512, 1, 0.025984
512, 2, 0.024524
512, 4, 0.025949
512, 8, 0.025776
512, 16, 0.025303
512, 32, 0.026563
512, 64, 0.025893
512, 128, 0.027059
512, 256, 0.029930
512, 512, 0.030809
512, 1024, 0.032796
512, 2048, 0.040828
512, 4096, 0.058836
512, 8192, 0.130013
512, 16384, 0.256414
512, 32768, 0.651542
512, 65536, 1.886649
512, 131072, 6.179184
512, 262144, 25.111285
1024, 1, 0.048838
1024, 2, 0.050710
1024, 4, 0.050796
1024, 8, 0.050346
1024, 16, 0.052687
1024, 32, 0.051363
1024, 64, 0.053211
1024, 128, 0.051560
1024, 256, 0.055356
1024, 512, 0.055239
1024, 1024, 0.061070
1024, 2048, 0.071139
1024, 4096, 0.085301
1024, 8192, 0.143481
1024, 16384, 0.336196
1024, 32768, 0.980102
1024, 65536, 3.090476
1024, 131072, 13.311126
1024, 262144, 46.108169
