1, 1, 0.000001
1, 2, 0.000001
1, 4, 0.000001
1, 8, 0.000001
1, 16, 0.000002
1, 32, 0.000003
1, 64, 0.000005
1, 128, 0.000012
1, 256, 0.000037
1, 512, 0.000119
1, 1024, 0.000439
1, 2048, 0.002373
1, 4096, 0.012207
1, 8192, 0.055813
1, 16384, 0.292707
1, 32768, 1.982575
1, 65536, 11.183807
1, 131072, 51.935650
1, 262144, 220.470770
2, 1, 0.000091
2, 2, 0.000093
2, 4, 0.000115
2, 8, 0.000106
2, 16, 0.000084
2, 32, 0.000116
2, 64, 0.000090
2, 128, 0.000096
2, 256, 0.000117
2, 512, 0.000404
2, 1024, 0.000908
2, 2048, 0.002538
2, 4096, 0.008834
2, 8192, 0.036547
2, 16384, 0.211483
2, 32768, 1.254169
2, 65536, 6.317309
2, 131072, 27.991894
2, 262144, 130.163475
4, 1, 0.000223
4, 2, 0.000231
4, 4, 0.000229
4, 8, 0.000223
4, 16, 0.000205
4, 32, 0.000223
4, 64, 0.000219
4, 128, 0.000256
4, 256, 0.000290
4, 512, 0.000474
4, 1024, 0.000842
4, 2048, 0.002102
4, 4096, 0.006283
4, 8192, 0.021612
4, 16384, 0.110921
4, 32768, 0.635244
4, 65536, 3.192063
4, 131072, 14.462391
4, 262144, 69.167493
8, 1, 0.000451
8, 2, 0.000429
8, 4, 0.000442
8, 8, 0.000536
8, 16, 0.000469
8, 32, 0.000558
8, 64, 0.000439
8, 128, 0.000483
8, 256, 0.000512
8, 512, 0.000635
8, 1024, 0.000935
8, 2048, 0.001756
8, 4096, 0.003950
8, 8192, 0.013061
8, 16384, 0.065163
8, 32768, 0.349047
8, 65536, 1.662896
8, 131072, 7.419419
8, 262144, 38.456574
16, 1, 0.000840
16, 2, 0.000768
16, 4, 0.000887
16, 8, 0.000918
16, 16, 0.000965
16, 32, 0.000940
16, 64, 0.000863
16, 128, 0.000919
16, 256, 0.000904
16, 512, 0.001018
16, 1024, 0.001370
16, 2048, 0.002044
16, 4096, 0.004646
16, 8192, 0.013672
16, 16384, 0.062551
16, 32768, 0.293002
16, 65536, 1.108274
16, 131072, 4.805448
16, 262144, 20.875148
32, 1, 0.002513
32, 2, 0.006131
32, 4, 0.004128
32, 8, 0.007933
32, 16, 0.005981
32, 32, 0.002833
32, 64, 0.006424
32, 128, 0.007140
32, 256, 0.003646
32, 512, 0.012226
32, 1024, 0.004265
32, 2048, 0.005725
32, 4096, 0.011118
32, 8192, 0.016661
32, 16384, 0.038873
32, 32768, 0.156004
32, 65536, 0.724817
32, 131072, 2.823243
32, 262144, 11.451308
64, 1, 0.015127
64, 2, 0.020523
64, 4, 0.016334
64, 8, 0.015517
64, 16, 0.015744
64, 32, 0.015595
64, 64, 0.018698
64, 128, 0.014864
64, 256, 0.019751
64, 512, 0.017035
64, 1024, 0.016146
64, 2048, 0.013184
64, 4096, 0.022875
64, 8192, 0.021192
64, 16384, 0.041933
64, 32768, 0.118839
64, 65536, 0.421187
64, 131072, 1.799891
64, 262144, 6.330497
128, 1, 0.027949
128, 2, 0.020272
128, 4, 0.022172
128, 8, 0.031147
128, 16, 0.024754
128, 32, 0.026641
128, 64, 0.024842
128, 128, 0.025214
128, 256, 0.033685
128, 512, 0.023244
128, 1024, 0.028523
128, 2048, 0.029139
128, 4096, 0.033362
128, 8192, 0.035476
128, 16384, 0.049573
128, 32768, 0.104539
128, 65536, 0.315851
128, 131072, 1.077742
128, 262144, 4.256947
256, 1, 0.039599
256, 2, 0.036247
256, 4, 0.037665
256, 8, 0.038541
256, 16, 0.045874
256, 32, 0.040135
256, 64, 0.037727
256, 128, 0.047238
256, 256, 0.051464
256, 512, 0.051853
256, 1024, 0.040711
256, 2048, 0.049460
256, 4096, 0.048170
256, 8192, 0.190147
256, 16384, 0.046658
256, 32768, 0.075280
256, 65536, 0.221897
256, 131072, 0.685783
256, 262144, 2.935623
512, 1, 0.026281
512, 2, 0.026766
512, 4, 0.027016
512, 8, 0.026317
512, 16, 0.025905
512, 32, 0.027465
512, 64, 0.026667
512, 128, 0.026577
512, 256, 0.029207
512, 512, 0.031934
512, 1024, 0.031325
512, 2048, 0.034351
512, 4096, 0.032710
512, 8192, 0.036356
512, 16384, 0.044300
512, 32768, 0.073285
512, 65536, 0.151133
512, 131072, 0.315550
512, 262144, 2.186133
1024, 1, 0.053706
1024, 2, 0.054590
1024, 4, 0.053154
1024, 8, 0.054305
1024, 16, 0.051652
1024, 32, 0.054638
1024, 64, 0.052983
1024, 128, 0.055315
1024, 256, 0.057868
1024, 512, 0.059565
1024, 1024, 0.083900
1024, 2048, 0.070516
1024, 4096, 0.068838
1024, 8192, 0.071704
1024, 16384, 0.078097
1024, 32768, 0.137360
1024, 65536, 0.191628
1024, 131072, 0.313910
1024, 262144, 0.684996
